"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jan 11 10:06:03 EST 2024","Thu Jan 11 10:06:03 EST 2024","1","chromium","accountpage.spec.ts","Account Page","","","Sign Up For Account",""
"passed","Thu Jan 11 10:20:26 EST 2024","Thu Jan 11 10:20:29 EST 2024","3570","chromium","homepage.spec.ts","HomePage","","","Search Website",""
"failed","Thu Jan 11 09:22:14 EST 2024","Thu Jan 11 09:22:28 EST 2024","14117","chromium","accountpage.spec.ts","My Account","","","Login Into Account",""
"failed","Thu Jan 11 12:10:27 EST 2024","Thu Jan 11 12:10:41 EST 2024","14090","chromium","accountpage.spec.ts","Account Page","","","Verify Login And Create Acct Button",""
"skipped","Thu Jan 11 10:20:25 EST 2024","Thu Jan 11 10:20:25 EST 2024","1","chromium","homepage.spec.ts","HomePage","","","Navigation Links",""
"passed","Thu Jan 11 12:13:06 EST 2024","Thu Jan 11 12:13:08 EST 2024","2127","chromium","homepage.spec.ts","HomePage","","","Navigate To HomePage",""
